Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-27 00:00:00+05:30,554.380251760885,576.6029884641125,554.380251760885,572.4454956054688,96867,0.0,0.0
2020-01-28 00:00:00+05:30,573.6333510724132,583.87854723959,562.9426984594334,566.8527221679688,125435,0.0,0.0
2020-01-29 00:00:00+05:30,569.574891487184,574.870705937179,566.3577932619652,571.6041259765625,66074,0.0,0.0
2020-01-30 00:00:00+05:30,573.3859243698158,581.0574667329855,558.7852469689443,561.0619506835938,81327,0.0,0.0
2020-01-31 00:00:00+05:30,564.279001471765,571.0596907224761,559.6761126926805,561.6063232421875,41837,0.0,0.0
2020-02-03 00:00:00+05:30,541.9078639211735,560.0720722526195,529.7818776484326,553.2914428710938,108694,0.0,0.0
2020-02-04 00:00:00+05:30,556.5085117215386,572.841471956381,553.1429078698794,570.7626953125,90036,0.0,0.0
2020-02-05 00:00:00+05:30,576.1080372352036,583.7300972339663,571.406124560174,578.4837646484375,88629,0.0,0.0
2020-02-06 00:00:00+05:30,583.5321575639301,583.5321575639301,570.5152582961503,574.227294921875,61366,0.0,0.0
2020-02-07 00:00:00+05:30,574.2272783033992,575.3656603359144,555.8650830763461,563.0416870117188,94808,0.0,0.0
2020-02-10 00:00:00+05:30,561.9528472621729,561.9528472621729,520.6749890857973,522.7042236328125,259228,0.0,0.0
2020-02-11 00:00:00+05:30,530.5737281142302,531.7615918277884,517.5568298340767,519.0911865234375,177523,0.0,0.0
2020-02-12 00:00:00+05:30,520.6749898408856,528.5940010932185,518.893224392563,525.5748901367188,101090,0.0,0.0
2020-02-13 00:00:00+05:30,526.6142170651665,532.3060060654009,523.1991315815743,527.8515625,73280,0.0,0.0
2020-02-14 00:00:00+05:30,528.1980053677881,531.1181527344621,515.3296125942668,517.7548217773438,96737,0.0,0.0
2020-02-17 00:00:00+05:30,523.6445952243582,523.6445952243582,511.073153350076,517.4083862304688,64109,0.0,0.0
2020-02-18 00:00:00+05:30,516.7154743396889,519.536597877513,509.0934140715326,517.9528198242188,52845,0.0,0.0
2020-02-19 00:00:00+05:30,521.1699259942928,524.48598777626,516.7154821823758,520.6749877929688,53660,0.0,0.0
2020-02-20 00:00:00+05:30,520.6749675254586,527.5051386047681,517.9528075241373,519.4376220703125,437933,0.0,0.0
2020-02-24 00:00:00+05:30,515.8245721034614,515.8245721034614,506.2227890698937,507.8560791015625,60433,0.0,0.0
2020-02-25 00:00:00+05:30,509.78634133344514,513.9438342588398,500.97644749581644,504.5400085449219,90340,0.0,0.0
2020-02-26 00:00:00+05:30,500.87746201394924,507.50964602525414,495.3341480922268,498.40277099609375,72178,0.0,0.0
2020-02-27 00:00:00+05:30,502.857199937332,502.857199937332,482.8122032862868,488.4049987792969,171032,0.0,0.0
2020-02-28 00:00:00+05:30,483.9505537224783,483.9505537224783,449.20588691633515,451.7795715332031,237867,0.0,0.0
2020-03-02 00:00:00+05:30,451.38362663783323,467.56811139782354,440.0990420136133,454.0563049316406,311027,0.0,0.0
2020-03-03 00:00:00+05:30,457.81782087197234,465.88530724128765,451.13615537816514,459.45111083984375,95035,0.0,0.0
2020-03-04 00:00:00+05:30,462.27226458506186,471.9235591882832,452.8684390742308,469.7458190917969,139300,0.0,0.0
2020-03-05 00:00:00+05:30,469.20140340742375,477.3678835300213,464.351015194516,474.39825439453125,70922,0.0,0.0
2020-03-06 00:00:00+05:30,445.54338261612406,468.75596653642344,445.54338261612406,466.18231201171875,87138,0.0,0.0
2020-03-09 00:00:00+05:30,454.3532743397122,460.9854584015438,436.53549887540976,458.4117736816406,151755,0.0,0.0
2020-03-11 00:00:00+05:30,458.31275646263936,464.94494018388735,445.44436373258685,447.9685363769531,330877,0.0,0.0
2020-03-12 00:00:00+05:30,427.18115526147074,431.289166554969,395.95056641865193,419.5096130371094,252765,0.0,0.0
2020-03-13 00:00:00+05:30,405.5523627017076,445.4443685091898,367.49160402008164,424.60748291015625,260268,0.0,0.0
2020-03-16 00:00:00+05:30,417.7278498860781,422.6772319937331,385.0619279755554,387.7840881347656,122088,0.0,0.0
2020-03-17 00:00:00+05:30,387.7840775208416,403.52310615066983,366.2542659418287,370.7087097167969,204049,0.0,0.0
2020-03-18 00:00:00+05:30,372.6389887671953,377.0439206918047,338.7357215300637,343.38812255859375,198087,0.0,0.0
2020-03-19 00:00:00+05:30,330.6187005737925,330.6187005737925,299.0911328156737,311.51409912109375,367853,0.0,0.0
2020-03-20 00:00:00+05:30,311.86055511541105,323.93705956460263,305.129407519599,319.68060302734375,265533,0.0,0.0
2020-03-23 00:00:00+05:30,300.92243007609545,300.92243007609545,272.2160140490995,290.7267150878906,186698,0.0,0.0
2020-03-24 00:00:00+05:30,291.02367279987817,305.07993030427724,261.82231787608083,266.52423095703125,222274,0.0,0.0
2020-03-25 00:00:00+05:30,267.2666292508157,285.4803490543304,243.3116232795686,274.93817138671875,188125,0.0,0.0
2020-03-26 00:00:00+05:30,291.0236432150136,296.5174448044987,267.81103101798374,284.5894470214844,303101,0.0,0.0
2020-03-27 00:00:00+05:30,296.5669757715704,301.8133086132457,278.15526867184997,292.6569519042969,251035,0.0,0.0
2020-03-30 00:00:00+05:30,287.0641677797514,289.538858881301,267.26663896735477,270.8302001953125,208690,0.0,0.0
